flag_id,customer_id,flag_type,flag_date,description,severity
F000039,C068521,High Transaction Volume,2026-01-08,Generated flag,High
F000040,C054877,Duplicate Record,2024-07-08,Generated flag,Medium
F000041,C094929,Suspicious Activity,2024-01-05,Generated flag,Low
F000042,C077864,Duplicate Record,2025-12-09,Generated flag,High
F000043,C090755,Duplicate Record,2022-08-25,Generated flag,High
F000044,C088437,High Transaction Volume,2026-05-18,Generated flag,Medium
F000045,C002717,High Transaction Volume,2025-12-04,Generated flag,High
F000046,C004813,Suspicious Activity,2026-05-20,Generated flag,Low
F000047,C072191,KYC Pending,2025-05-13,Generated flag,Low
F000048,C096044,Suspicious Activity,2024-07-28,Generated flag,Low
F000049,C059806,Duplicate Record,2025-04-09,Generated flag,Low
F000050,C088488,Duplicate Record,2023-11-06,Generated flag,High
F000051,C036562,Duplicate Record,2023-02-23,Generated flag,Low
F000052,C051196,Suspicious Activity,2024-01-14,Generated flag,High
F000053,C018532,Suspicious Activity,2025-07-10,Generated flag,High
F000054,C001250,Duplicate Record,2024-02-07,Generated flag,High
F000055,C015863,Duplicate Record,2023-03-29,Generated flag,High
F000056,C092734,High Transaction Volume,2022-06-14,Generated flag,Medium
F000057,C094314,High Transaction Volume,2025-08-29,Generated flag,Medium
F000058,C041829,Suspicious Activity,2022-08-09,Generated flag,Low
F000059,C015330,Suspicious Activity,2022-08-21,Generated flag,Medium
F000060,C041136,High Transaction Volume,2022-10-22,Generated flag,Medium
F000061,C082087,KYC Pending,2022-12-09,Generated flag,Medium
F000062,C033112,KYC Pending,2025-01-06,Generated flag,Low
F000063,C066172,KYC Pending,2024-08-01,Generated flag,High
F000064,C015389,KYC Pending,2025-10-04,Generated flag,High
F000065,C030366,Duplicate Record,2024-12-14,Generated flag,Medium
F000066,C055047,Duplicate Record,2023-04-20,Generated flag,High
F000067,C009932,Suspicious Activity,2024-05-25,Generated flag,Low
F000068,C070717,Suspicious Activity,2024-06-23,Generated flag,Low
F000069,C066090,Suspicious Activity,2023-11-06,Generated flag,Medium
F000070,C042485,KYC Pending,2023-06-08,Generated flag,Medium
F000071,C069757,High Transaction Volume,2022-09-21,Generated flag,High
F000072,C075434,Suspicious Activity,2022-06-30,Generated flag,High
F000073,C075004,Suspicious Activity,2023-12-19,Generated flag,Medium
F000074,C038901,High Transaction Volume,2025-05-30,Generated flag,High
F000075,C004995,KYC Pending,2025-12-17,Generated flag,High
F000076,C037675,Suspicious Activity,2025-01-10,Generated flag,Medium
F000077,C076332,High Transaction Volume,2023-08-30,Generated flag,High
F000078,C052711,KYC Pending,2023-11-26,Generated flag,High
F000079,C027241,Duplicate Record,2024-10-07,Generated flag,Low
F000080,C070038,KYC Pending,2026-03-06,Generated flag,Low
F000081,C092102,Suspicious Activity,2025-12-24,Generated flag,Medium
F000082,C065356,Suspicious Activity,2022-06-19,Generated flag,High
F000083,C004704,Suspicious Activity,2024-04-03,Generated flag,Medium
F000084,C052012,Suspicious Activity,2025-01-04,Generated flag,Medium
F000085,C019481,Suspicious Activity,2024-04-03,Generated flag,Low
F000086,C046471,High Transaction Volume,2022-09-11,Generated flag,Medium
F000087,C084531,High Transaction Volume,2024-07-11,Generated flag,Medium
F000088,C091787,Suspicious Activity,2022-06-12,Generated flag,High
F000089,C061972,Suspicious Activity,2023-03-05,Generated flag,High
F000090,C081827,Duplicate Record,2024-01-17,Generated flag,Low
F000091,C025716,KYC Pending,2024-11-28,Generated flag,High
F000092,C047680,Duplicate Record,2025-01-08,Generated flag,Medium
F000093,C054425,KYC Pending,2025-08-01,Generated flag,High
F000094,C060293,Duplicate Record,2022-08-03,Generated flag,Low
F000095,C071043,Duplicate Record,2025-06-11,Generated flag,High
F000096,C098267,High Transaction Volume,2025-03-24,Generated flag,High
F000097,C000087,High Transaction Volume,2025-11-03,Generated flag,High
F000098,C088446,Duplicate Record,2025-05-25,Generated flag,High
F000099,C025685,High Transaction Volume,2025-05-15,Generated flag,Medium
F000100,C021055,High Transaction Volume,2024-08-30,Generated flag,Low
F000101,C032510,Duplicate Record,2023-11-07,Generated flag,Low
F000102,C068903,KYC Pending,2023-10-07,Generated flag,Low
F000103,C014124,High Transaction Volume,2023-01-06,Generated flag,High
F000104,C021192,High Transaction Volume,2024-08-18,Generated flag,High
F000105,C040384,High Transaction Volume,2022-11-23,Generated flag,Low
F000106,C029460,KYC Pending,2023-08-28,Generated flag,Low
F000107,C025977,Suspicious Activity,2026-04-27,Generated flag,Medium
F000108,C094513,KYC Pending,2025-11-27,Generated flag,Medium
F000109,C031390,High Transaction Volume,2024-03-27,Generated flag,Low
F000110,C002459,High Transaction Volume,2025-12-30,Generated flag,Low
F000111,C017884,KYC Pending,2024-04-11,Generated flag,High
F000112,C016793,Duplicate Record,2023-06-27,Generated flag,Medium
F000113,C041041,KYC Pending,2025-06-24,Generated flag,High
F000114,C058464,Duplicate Record,2024-03-05,Generated flag,Medium
F000115,C025588,High Transaction Volume,2026-02-05,Generated flag,Low
F000116,C023089,Duplicate Record,2022-08-17,Generated flag,High
F000117,C075812,KYC Pending,2024-10-02,Generated flag,Medium
F000118,C024147,Suspicious Activity,2024-07-28,Generated flag,Medium
F000119,C060492,Duplicate Record,2025-02-01,Generated flag,Low
F000120,C058750,KYC Pending,2023-07-29,Generated flag,High
F000121,C058995,High Transaction Volume,2025-04-10,Generated flag,Medium
F000122,C023401,Suspicious Activity,2022-08-27,Generated flag,Medium
F000123,C060375,KYC Pending,2025-04-23,Generated flag,High
F000124,C029648,Suspicious Activity,2026-03-05,Generated flag,Low
F000125,C096963,KYC Pending,2024-05-26,Generated flag,Medium
F000126,C081035,Suspicious Activity,2025-02-15,Generated flag,Low
F000127,C087536,High Transaction Volume,2022-08-18,Generated flag,High
F000128,C006718,Duplicate Record,2025-09-10,Generated flag,Low
F000129,C077368,Duplicate Record,2022-06-09,Generated flag,Low
F000130,C007980,High Transaction Volume,2023-12-17,Generated flag,High
F000131,C089310,Suspicious Activity,2023-05-25,Generated flag,Low
F000132,C012670,Duplicate Record,2025-02-26,Generated flag,Low
F000133,C011745,High Transaction Volume,2026-02-08,Generated flag,Medium
F000134,C003368,KYC Pending,2023-01-21,Generated flag,High
F000135,C088964,High Transaction Volume,2022-06-26,Generated flag,Medium
F000136,C039221,Duplicate Record,2023-12-17,Generated flag,Low
F000137,C044365,Duplicate Record,2025-02-20,Generated flag,Low
F000138,C089063,High Transaction Volume,2024-04-25,Generated flag,Low
F000139,C056265,High Transaction Volume,2025-02-03,Generated flag,High
F000140,C087075,Suspicious Activity,2025-08-10,Generated flag,Medium
F000141,C018879,Duplicate Record,2024-02-07,Generated flag,Low
F000142,C023041,High Transaction Volume,2025-12-16,Generated flag,Medium
F000143,C048981,KYC Pending,2026-02-06,Generated flag,Low
F000144,C083627,KYC Pending,2023-06-26,Generated flag,Low
F000145,C052185,KYC Pending,2024-04-11,Generated flag,High
F000146,C052923,Suspicious Activity,2025-04-14,Generated flag,Medium
F000147,C028084,KYC Pending,2026-04-15,Generated flag,Medium
F000148,C089355,Suspicious Activity,2024-05-22,Generated flag,High
F000149,C043230,Duplicate Record,2023-03-24,Generated flag,High
F000150,C035638,Duplicate Record,2024-12-12,Generated flag,Low
F000151,C099765,High Transaction Volume,2024-04-19,Generated flag,High
F000152,C011875,Duplicate Record,2025-06-26,Generated flag,High
F000153,C045447,Suspicious Activity,2025-11-18,Generated flag,Low
F000154,C093520,Suspicious Activity,2023-05-31,Generated flag,Low
F000155,C033272,KYC Pending,2024-07-25,Generated flag,Low
F000156,C035932,High Transaction Volume,2024-01-09,Generated flag,Medium
F000157,C078094,High Transaction Volume,2025-07-11,Generated flag,High
F000158,C026762,KYC Pending,2025-04-29,Generated flag,Low
F000159,C035332,Suspicious Activity,2022-09-16,Generated flag,Low
F000160,C077489,Duplicate Record,2023-05-31,Generated flag,Medium
F000161,C040929,Duplicate Record,2026-04-16,Generated flag,High
F000162,C024745,KYC Pending,2024-05-17,Generated flag,Medium
F000163,C024208,High Transaction Volume,2026-04-23,Generated flag,Low
F000164,C077820,High Transaction Volume,2022-09-09,Generated flag,Low
F000165,C085390,High Transaction Volume,2024-04-10,Generated flag,Medium
F000166,C056351,Suspicious Activity,2022-10-31,Generated flag,High
F000167,C078260,Suspicious Activity,2024-10-07,Generated flag,High
F000168,C041215,Duplicate Record,2023-05-20,Generated flag,Low
F000169,C055808,Duplicate Record,2024-07-02,Generated flag,Low
F000170,C030339,KYC Pending,2026-02-14,Generated flag,Medium
F000171,C063905,Suspicious Activity,2023-03-10,Generated flag,Low
F000172,C004485,Suspicious Activity,2025-06-29,Generated flag,Medium
F000173,C017249,High Transaction Volume,2025-06-17,Generated flag,Medium
F000174,C070430,KYC Pending,2024-12-13,Generated flag,Low
F000175,C010334,Suspicious Activity,2025-03-01,Generated flag,Low
F000176,C057760,Duplicate Record,2023-09-16,Generated flag,High
F000177,C065340,Suspicious Activity,2023-08-30,Generated flag,High
F000178,C032313,High Transaction Volume,2023-03-05,Generated flag,High
F000179,C001202,Suspicious Activity,2026-05-17,Generated flag,High
F000180,C081404,Suspicious Activity,2026-03-25,Generated flag,Low
F000181,C021923,Duplicate Record,2022-11-12,Generated flag,Medium
F000182,C025518,Suspicious Activity,2026-01-10,Generated flag,Low
F000183,C012342,Duplicate Record,2026-01-20,Generated flag,Low
F000184,C003167,High Transaction Volume,2023-12-04,Generated flag,Medium
F000185,C022151,Duplicate Record,2025-05-28,Generated flag,Low
F000186,C087176,Suspicious Activity,2023-12-31,Generated flag,High
F000187,C029420,KYC Pending,2026-05-08,Generated flag,Low
F000188,C073899,High Transaction Volume,2025-04-24,Generated flag,High
F000189,C030922,High Transaction Volume,2024-10-16,Generated flag,Low
F000190,C011963,Suspicious Activity,2024-11-23,Generated flag,Low
F000191,C004371,Duplicate Record,2026-02-14,Generated flag,High
F000192,C092225,Duplicate Record,2025-01-06,Generated flag,Medium
F000193,C077650,Duplicate Record,2022-07-02,Generated flag,Medium
F000194,C076209,Suspicious Activity,2023-05-14,Generated flag,Medium
F000195,C072009,Duplicate Record,2023-07-15,Generated flag,High
F000196,C060885,KYC Pending,2023-08-02,Generated flag,Medium
F000197,C022233,Suspicious Activity,2023-03-31,Generated flag,Low
F000198,C001038,Suspicious Activity,2025-07-17,Generated flag,High
F000199,C099545,KYC Pending,2023-12-16,Generated flag,High
F000200,C067251,KYC Pending,2023-04-07,Generated flag,Medium
F000201,C055574,KYC Pending,2024-07-18,Generated flag,Medium
F000202,C011977,High Transaction Volume,2024-01-03,Generated flag,High
F000203,C062205,KYC Pending,2023-03-21,Generated flag,Medium
F000204,C018729,Suspicious Activity,2024-05-30,Generated flag,Medium
F000205,C006713,Suspicious Activity,2025-03-15,Generated flag,High
F000206,C085137,High Transaction Volume,2022-07-21,Generated flag,High
F000207,C032007,Duplicate Record,2024-06-05,Generated flag,Low
F000208,C009407,Duplicate Record,2025-11-26,Generated flag,High
F000209,C078266,Duplicate Record,2026-05-22,Generated flag,High
F000210,C036376,High Transaction Volume,2024-12-15,Generated flag,High
F000211,C073101,High Transaction Volume,2025-11-08,Generated flag,Medium
F000212,C028344,KYC Pending,2025-09-17,Generated flag,Medium
F000213,C019004,Duplicate Record,2023-07-31,Generated flag,High
F000214,C009461,KYC Pending,2023-04-04,Generated flag,High
F000215,C013190,Duplicate Record,2025-12-29,Generated flag,High
F000216,C002430,High Transaction Volume,2025-08-26,Generated flag,Low
F000217,C049823,High Transaction Volume,2022-07-31,Generated flag,Medium
F000218,C059072,KYC Pending,2025-09-09,Generated flag,Low
F000219,C050601,KYC Pending,2022-07-14,Generated flag,Low
F000220,C003787,Duplicate Record,2022-09-15,Generated flag,Low
F000221,C092270,Duplicate Record,2023-06-17,Generated flag,High
F000222,C091290,Duplicate Record,2025-06-05,Generated flag,Medium
F000223,C003556,High Transaction Volume,2023-03-20,Generated flag,High
F000224,C095572,KYC Pending,2023-06-15,Generated flag,Low
F000225,C090628,KYC Pending,2025-08-06,Generated flag,High
F000226,C010500,Suspicious Activity,2024-08-12,Generated flag,Low
F000227,C099833,Duplicate Record,2025-07-01,Generated flag,Low
F000228,C080633,Duplicate Record,2024-05-09,Generated flag,Medium
F000229,C082278,Suspicious Activity,2023-08-27,Generated flag,Low
F000230,C088622,Duplicate Record,2025-07-22,Generated flag,Medium
F000231,C067316,Duplicate Record,2025-06-11,Generated flag,High
F000232,C092086,High Transaction Volume,2022-07-06,Generated flag,Low
F000233,C046499,Suspicious Activity,2025-12-28,Generated flag,Low
F000234,C021233,Suspicious Activity,2023-02-26,Generated flag,Medium
F000235,C082846,High Transaction Volume,2025-12-22,Generated flag,Low
F000236,C007670,KYC Pending,2022-10-09,Generated flag,Medium
F000237,C033921,KYC Pending,2024-04-04,Generated flag,High
F000238,C040728,KYC Pending,2023-09-10,Generated flag,Medium
F000239,C008507,Duplicate Record,2022-08-23,Generated flag,Low
F000240,C046459,Suspicious Activity,2025-09-30,Generated flag,Low
F000241,C008274,Suspicious Activity,2025-11-24,Generated flag,Medium
F000242,C044071,Duplicate Record,2026-03-25,Generated flag,Low
F000243,C014857,KYC Pending,2023-08-25,Generated flag,High
F000244,C010909,Suspicious Activity,2023-04-11,Generated flag,High
F000245,C072779,High Transaction Volume,2025-11-24,Generated flag,High
F000246,C034395,Duplicate Record,2025-01-15,Generated flag,Low
F000247,C003146,Duplicate Record,2022-07-26,Generated flag,Medium
F000248,C019704,KYC Pending,2025-04-22,Generated flag,High
F000249,C078327,High Transaction Volume,2025-12-14,Generated flag,Medium
F000250,C032326,High Transaction Volume,2024-07-27,Generated flag,High
F000251,C012138,Suspicious Activity,2025-04-19,Generated flag,Low
F000252,C061945,KYC Pending,2023-10-30,Generated flag,Low
F000253,C082273,KYC Pending,2024-05-26,Generated flag,Medium
F000254,C078946,KYC Pending,2024-03-12,Generated flag,High
F000255,C088423,Duplicate Record,2025-05-23,Generated flag,Low
F000256,C050476,Suspicious Activity,2024-08-15,Generated flag,Low
F000257,C070817,Duplicate Record,2024-06-20,Generated flag,Low
F000258,C082887,KYC Pending,2023-09-25,Generated flag,High
F000259,C008371,Duplicate Record,2024-12-07,Generated flag,Low
F000260,C062387,KYC Pending,2022-06-28,Generated flag,High
F000261,C011067,Suspicious Activity,2025-11-12,Generated flag,High
F000262,C081052,Suspicious Activity,2023-03-08,Generated flag,Medium
F000263,C053334,Suspicious Activity,2025-10-28,Generated flag,High
F000264,C024529,Suspicious Activity,2026-02-03,Generated flag,Low
F000265,C009836,High Transaction Volume,2022-09-02,Generated flag,Low
F000266,C012667,Duplicate Record,2023-04-19,Generated flag,High
F000267,C018874,Duplicate Record,2025-11-27,Generated flag,High
F000268,C035101,KYC Pending,2023-09-05,Generated flag,Medium
F000269,C020239,Duplicate Record,2025-12-20,Generated flag,Low
F000270,C038089,High Transaction Volume,2022-06-27,Generated flag,High
F000271,C005014,Suspicious Activity,2024-11-04,Generated flag,Low
F000272,C054061,Suspicious Activity,2023-10-02,Generated flag,Low
F000273,C036749,High Transaction Volume,2024-04-07,Generated flag,Medium
F000274,C098974,Suspicious Activity,2025-03-16,Generated flag,High
F000275,C060340,Duplicate Record,2024-02-08,Generated flag,High
F000276,C063504,Duplicate Record,2024-05-10,Generated flag,Medium
F000277,C070833,KYC Pending,2024-06-25,Generated flag,Low
F000278,C084754,Suspicious Activity,2024-07-19,Generated flag,Low
F000279,C042320,Suspicious Activity,2024-05-02,Generated flag,High
F000280,C034168,KYC Pending,2025-12-16,Generated flag,Medium
F000281,C062734,High Transaction Volume,2024-09-24,Generated flag,High
F000282,C065573,Duplicate Record,2023-03-07,Generated flag,High
F000283,C068211,KYC Pending,2024-05-10,Generated flag,Low
F000284,C017890,Suspicious Activity,2023-01-17,Generated flag,Low
F000285,C069209,High Transaction Volume,2023-12-13,Generated flag,High
F000286,C003203,Duplicate Record,2022-09-11,Generated flag,High
F000287,C057779,High Transaction Volume,2022-12-25,Generated flag,High
F000288,C010780,Suspicious Activity,2022-06-21,Generated flag,Medium
F000289,C006201,High Transaction Volume,2025-01-21,Generated flag,Low
F000290,C035280,KYC Pending,2024-03-17,Generated flag,High
F000291,C055057,Duplicate Record,2025-12-01,Generated flag,Low
F000292,C008745,KYC Pending,2025-09-25,Generated flag,Medium
F000293,C006349,Suspicious Activity,2022-08-24,Generated flag,High
F000294,C025342,High Transaction Volume,2026-02-23,Generated flag,High
F000295,C062244,Duplicate Record,2024-03-31,Generated flag,Medium
F000296,C051836,Duplicate Record,2022-10-16,Generated flag,High
F000297,C047228,KYC Pending,2025-05-03,Generated flag,High
F000298,C091243,Suspicious Activity,2026-03-14,Generated flag,High
F000299,C070328,High Transaction Volume,2025-06-02,Generated flag,High
F000300,C072416,Duplicate Record,2024-02-14,Generated flag,Low
F000301,C008835,High Transaction Volume,2024-09-06,Generated flag,Medium
F000302,C030733,KYC Pending,2025-03-12,Generated flag,High
F000303,C052056,Suspicious Activity,2025-05-21,Generated flag,High
F000304,C013203,Duplicate Record,2024-07-11,Generated flag,High
F000305,C043940,High Transaction Volume,2025-09-18,Generated flag,Low
F000306,C039421,KYC Pending,2022-11-22,Generated flag,Low
F000307,C011073,Suspicious Activity,2022-10-12,Generated flag,Low
F000308,C056317,KYC Pending,2023-03-01,Generated flag,High
F000309,C048889,High Transaction Volume,2024-10-03,Generated flag,Medium
F000310,C052184,KYC Pending,2023-05-22,Generated flag,High
F000311,C050334,High Transaction Volume,2026-02-05,Generated flag,Medium
F000312,C031914,Suspicious Activity,2022-09-28,Generated flag,Low
F000313,C076944,Duplicate Record,2023-06-06,Generated flag,Medium
F000314,C027111,High Transaction Volume,2024-07-27,Generated flag,Low
F000315,C073274,Suspicious Activity,2022-09-25,Generated flag,High
F000316,C009315,KYC Pending,2022-10-11,Generated flag,High
F000317,C060381,Duplicate Record,2023-01-11,Generated flag,High
F000318,C020731,KYC Pending,2024-11-30,Generated flag,Low
F000319,C009900,High Transaction Volume,2023-12-03,Generated flag,Low
F000320,C034279,Duplicate Record,2022-09-16,Generated flag,Low
F000321,C014055,Suspicious Activity,2024-04-14,Generated flag,Medium
F000322,C060229,High Transaction Volume,2025-01-17,Generated flag,High
F000323,C079243,Duplicate Record,2023-01-19,Generated flag,Medium
F000324,C003913,Suspicious Activity,2024-05-04,Generated flag,Medium
F000325,C058500,Duplicate Record,2023-04-14,Generated flag,Low
F000326,C036524,KYC Pending,2024-03-02,Generated flag,Low
F000327,C014894,KYC Pending,2025-02-05,Generated flag,Low
F000328,C054451,Duplicate Record,2026-03-07,Generated flag,Medium
F000329,C005763,High Transaction Volume,2024-07-22,Generated flag,High
F000330,C049995,High Transaction Volume,2026-04-29,Generated flag,Medium
F000331,C076144,Duplicate Record,2024-08-17,Generated flag,Low
F000332,C010926,Duplicate Record,2023-09-10,Generated flag,Low
F000333,C068753,KYC Pending,2023-06-26,Generated flag,Low
F000334,C072691,Duplicate Record,2025-07-04,Generated flag,Medium
F000335,C091870,High Transaction Volume,2026-04-20,Generated flag,Medium
F000336,C031791,Duplicate Record,2022-06-13,Generated flag,Medium
F000337,C001273,Duplicate Record,2024-09-15,Generated flag,Medium
F000338,C092869,Suspicious Activity,2026-03-08,Generated flag,High
F000339,C092699,High Transaction Volume,2025-09-16,Generated flag,Low
F000340,C008893,Suspicious Activity,2024-07-26,Generated flag,High
F000341,C075961,KYC Pending,2025-03-25,Generated flag,Medium
F000342,C076761,High Transaction Volume,2022-11-15,Generated flag,Medium
F000343,C065152,Suspicious Activity,2026-03-25,Generated flag,High
F000344,C008627,Duplicate Record,2026-01-02,Generated flag,Medium
F000345,C022051,High Transaction Volume,2022-11-23,Generated flag,Medium
F000346,C038612,KYC Pending,2023-06-12,Generated flag,Medium
F000347,C086281,Suspicious Activity,2022-07-29,Generated flag,High
F000348,C083530,High Transaction Volume,2023-01-19,Generated flag,High
F000349,C097942,Duplicate Record,2023-12-29,Generated flag,Low
F000350,C035211,Duplicate Record,2023-10-27,Generated flag,Low
F000351,C038739,KYC Pending,2023-04-23,Generated flag,Low
F000352,C072214,KYC Pending,2024-06-04,Generated flag,High
F000353,C079591,Suspicious Activity,2024-11-13,Generated flag,High
F000354,C024436,High Transaction Volume,2025-10-03,Generated flag,Medium
F000355,C011264,KYC Pending,2024-08-21,Generated flag,High
F000356,C092660,Suspicious Activity,2023-10-13,Generated flag,Medium
F000357,C095408,High Transaction Volume,2025-05-24,Generated flag,Low
F000358,C034460,KYC Pending,2024-08-19,Generated flag,Medium
F000359,C052747,KYC Pending,2024-11-19,Generated flag,Medium
F000360,C042927,Suspicious Activity,2023-02-11,Generated flag,High
F000361,C012108,Suspicious Activity,2023-09-18,Generated flag,High
F000362,C084335,KYC Pending,2026-01-26,Generated flag,Low
F000363,C006911,High Transaction Volume,2026-01-13,Generated flag,High
F000364,C067485,Duplicate Record,2022-07-04,Generated flag,High
F000365,C041465,KYC Pending,2024-06-09,Generated flag,High
F000366,C053509,KYC Pending,2026-05-10,Generated flag,Medium
F000367,C069760,Duplicate Record,2023-03-17,Generated flag,Medium
F000368,C062739,High Transaction Volume,2024-04-04,Generated flag,Medium
F000369,C061501,Duplicate Record,2024-01-03,Generated flag,Low
F000370,C032818,High Transaction Volume,2023-03-06,Generated flag,Low
F000371,C009306,Suspicious Activity,2024-07-25,Generated flag,Low
F000372,C063053,Duplicate Record,2024-12-21,Generated flag,Low
F000373,C042264,Duplicate Record,2023-03-30,Generated flag,High
F000374,C083470,Suspicious Activity,2025-12-26,Generated flag,Medium
F000375,C025481,KYC Pending,2026-01-30,Generated flag,Medium
F000376,C026326,KYC Pending,2023-02-20,Generated flag,High
F000377,C068438,Duplicate Record,2022-10-24,Generated flag,Medium
F000378,C001300,Duplicate Record,2024-09-09,Generated flag,High
F000379,C098890,KYC Pending,2022-11-03,Generated flag,Low
F000380,C019745,High Transaction Volume,2026-03-02,Generated flag,Low
F000381,C006126,Duplicate Record,2024-10-26,Generated flag,Medium
F000382,C009858,KYC Pending,2025-01-21,Generated flag,Medium
F000383,C043850,Suspicious Activity,2023-12-02,Generated flag,High
F000384,C063239,Suspicious Activity,2026-05-06,Generated flag,Medium
F000385,C090057,Duplicate Record,2023-07-24,Generated flag,High
F000386,C043788,Duplicate Record,2024-03-12,Generated flag,High
F000387,C000031,Duplicate Record,2025-02-25,Generated flag,Medium
F000388,C059938,Duplicate Record,2025-12-22,Generated flag,Medium
F000389,C012959,High Transaction Volume,2024-01-17,Generated flag,High
F000390,C045002,KYC Pending,2024-03-05,Generated flag,Low
F000391,C051910,Duplicate Record,2025-04-24,Generated flag,Low
F000392,C092974,Suspicious Activity,2023-06-22,Generated flag,Low
F000393,C084674,Duplicate Record,2025-05-28,Generated flag,Low
F000394,C093386,Suspicious Activity,2025-09-01,Generated flag,Low
F000395,C081568,Duplicate Record,2025-07-16,Generated flag,Low
F000396,C059534,Duplicate Record,2022-09-05,Generated flag,High
F000397,C084934,Suspicious Activity,2025-10-25,Generated flag,Low
F000398,C074467,KYC Pending,2024-11-22,Generated flag,Low
F000399,C066580,Suspicious Activity,2022-06-13,Generated flag,High
F000400,C060739,High Transaction Volume,2026-05-31,Generated flag,Low
F000401,C065560,Suspicious Activity,2024-05-31,Generated flag,Medium
F000402,C077600,High Transaction Volume,2023-09-10,Generated flag,Low
F000403,C031681,KYC Pending,2023-11-05,Generated flag,Medium
F000404,C082907,High Transaction Volume,2025-09-14,Generated flag,High
F000405,C052364,High Transaction Volume,2024-05-02,Generated flag,Low
F000406,C065187,Suspicious Activity,2024-07-09,Generated flag,Low
F000407,C037732,Suspicious Activity,2024-08-12,Generated flag,Medium
F000408,C017579,Suspicious Activity,2025-05-25,Generated flag,High
F000409,C033937,Duplicate Record,2023-12-27,Generated flag,Medium
F000410,C021127,KYC Pending,2024-09-21,Generated flag,Low
F000411,C091596,KYC Pending,2024-10-04,Generated flag,Medium
F000412,C095782,Duplicate Record,2024-03-06,Generated flag,Low
F000413,C059245,Duplicate Record,2025-09-19,Generated flag,Medium
F000414,C025623,KYC Pending,2025-03-11,Generated flag,High
F000415,C016899,High Transaction Volume,2023-06-14,Generated flag,Low
F000416,C055220,Duplicate Record,2022-11-19,Generated flag,Medium
F000417,C086234,Suspicious Activity,2025-03-10,Generated flag,Medium
F000418,C095142,Duplicate Record,2026-03-01,Generated flag,High
F000419,C005077,Suspicious Activity,2026-03-16,Generated flag,Medium
F000420,C029436,High Transaction Volume,2025-05-20,Generated flag,Medium
F000421,C056345,Suspicious Activity,2024-10-13,Generated flag,Low
F000422,C076441,Suspicious Activity,2023-02-11,Generated flag,Medium
F000423,C035813,Suspicious Activity,2025-09-05,Generated flag,Low
F000424,C089258,High Transaction Volume,2024-03-20,Generated flag,Medium
F000425,C047876,KYC Pending,2025-09-07,Generated flag,High
F000426,C025485,High Transaction Volume,2023-10-19,Generated flag,High
F000427,C070685,High Transaction Volume,2026-01-07,Generated flag,Low
F000428,C065195,Suspicious Activity,2024-02-21,Generated flag,High
F000429,C072863,Suspicious Activity,2025-03-22,Generated flag,High
F000430,C050684,High Transaction Volume,2026-01-19,Generated flag,Low
F000431,C013624,Suspicious Activity,2022-12-24,Generated flag,Medium
F000432,C001469,Suspicious Activity,2025-04-28,Generated flag,High
F000433,C099008,High Transaction Volume,2023-09-12,Generated flag,Low
